id,freq,cui
4549271,7741,C1125139
4528998,1086,C0987086
4842213,7901,C1720243
4134957,722,C0263492
5136542,8371,C2919142
4586967,630,C1247198
4957201,199,C2344617
4001824,1558,C0003948
4414618,2738,C0722226
4070946,135,C0152972
4657875,189,C1333138
4247589,4668,C0424480
4004997,119,C0009995
4008132,9708,C0016202
4072447,356,C0154934
4022363,942,C0043388
4006764,301,C0013691
4550240,211,C1126966
4004123,4885,C0008373
4015257,4454,C0029925
4136173,158,C0264902
4122645,74467,C0234238
4015884,157,C0031099
4207271,104,C0370188
4000152,16981,C0000786
4402306,221,C0700650
4001539,515,C0003385
4500023,143,C0948525
4123253,260,C0235002
4106932,4400,C0205707
4016112,3559,C0031538
4252130,928,C0429468
4211983,171,C0376532
4246183,3319,C0422931
4111131,3010,C0220833
4013737,3595,C0027086
4120631,5343,C0231819
4414010,242,C0721424
4212591,383,C0378035
4183217,150,C0332767
5047603,143816,C2827071
4661447,80205,C1337615
4459477,897,C0855056
4880688,203,C1854711
4135546,308,C0264172
4401869,2107,C0699918
4469775,188,C0877393
4122626,157,C0234213
4810597,154,C1617311
4419748,1346,C0740852
4460446,129,C0856053
4107179,118555,C0206046
4052250,137,C0082966
4150043,1661,C0281926
4403275,2640,C0702120
4761159,2678,C1535531
4123234,214,C0234967
4958911,231,C2346932
4491606,21739,C0935966
4010659,2275,C0021053
4019836,545,C0038366
4005472,372,C0010975
4120992,12647,C0232258
5034208,575,C2740529
4954199,1402,C2316787
4211774,214,C0376266
4111112,13080,C0220806
4442377,221,C0794811
4249907,77960,C0427008
4125229,8062,C0242073
4459648,213,C0855235
4529758,3122,C0991551
4421325,151,C0752118
5178247,20154,C2981153
4020121,1727,C0038862
4014915,648,C0029458
4183920,13552,C0333575
4194294,115,C0346255
4264404,1060,C0442887
4412946,706,C0720100
4500175,253,C0948707
4300922,1237,C0520541
4878484,209,C1852242
4018259,2135,C0035410
5145320,365,C2931161
4161310,585,C0308191
4161120,852,C0307284
4350588,2534,C0591424
4111283,149,C0221106
4134311,1071,C0262591
4021717,408,C0042143
4698345,384,C1387005
4005510,2424,C0011071
4560139,516,C1142035
4020444,1081,C0039536
4529739,1425,C0991531
4138852,161,C0268022
4013338,1998,C0026259
4573591,1817,C1174773
4317053,704,C0554103
4916807,4152,C1963280
4661409,1535,C1337333
4129162,107,C0252173
4126008,692,C0243076
4402629,593,C0701044
4003458,10143,C0007193
4996436,196,C2674445
4442890,268,C0795635
4857793,1320,C1827796
4070110,682,C0151956
4959139,168,C2347168
4137104,188,C0266013
4402439,267,C0700805
4007866,617,C0015686
4635208,382,C1301922
4251655,542,C0428974
4899327,2444,C1875576
4053751,512,C0085660
4008398,3204,C0016689
4867901,664,C1839733
4464360,457,C0860527
4753711,56484,C1527349
4420280,1490,C0750394
4016663,3524,C0032521
4008417,163,C0016719
4397803,3224,C0689117
4148010,153,C0278767
